DF,58,-22.69,24.6629,A01
DD,58,-21.674,24.6629,A02
DB,58,-20.658,24.6629,A03
CY,58,-19.642,24.6629,A04
CV,58,-18.626,24.6629,A05
CT,58,-17.61,24.6629,A06
CP,58,-16.594,24.6629,A07
CM,58,-15.578,24.6629,A08
CK,58,-14.562,24.6629,A09
CH,58,-13.546,24.6629,A10
CF,58,-12.53,24.6629,A11
CD,58,-9.314,25.5769,A12
DE,57,-22.182,23.7815,A13
DC,57,-21.166,23.7815,A14
DA,57,-20.15,23.7815,A15
CW,57,-19.134,23.7815,A16
CU,57,-18.118,23.7815,A17
CR,57,-17.102,23.7815,A18
CN,57,-16.086,23.7815,A19
CL,57,-15.07,23.7815,A20
CJ,57,-14.054,23.7815,A21
CG,57,-13.038,23.7815,A22
CE,57,-12.022,23.7815,A23
CC,57,-8.806,24.6955,A24
DF,56,-22.69,22.9001,A25
DD,56,-21.674,22.9001,A26
DB,56,-20.658,22.9001,A27
CY,56,-19.642,22.9001,A28
CV,56,-18.626,22.9001,A29
CT,56,-17.61,22.9001,A30
CP,56,-16.594,22.9001,A31
CM,56,-15.578,22.9001,A32
CK,56,-14.562,22.9001,A33
CH,56,-13.546,22.9001,A34
CF,56,-12.53,22.9001,A35
CD,56,-11.514,22.9001,A36
DE,55,-22.182,22.0187,A37
DC,55,-21.166,22.0187,A38
DA,55,-20.15,22.0187,A39
CW,55,-19.134,22.0187,A40
CU,55,-18.118,22.0187,A41
CR,55,-17.102,22.0187,A42
CN,55,-16.086,22.0187,A43
CL,55,-15.07,22.0187,A44
CJ,55,-14.054,22.0187,A45
CG,55,-13.038,22.0187,A46
CE,55,-12.022,22.0187,A47
CC,55,-11.006,22.0187,A48
DF,54,-22.69,21.1373,A49
DD,54,-21.674,21.1373,A50
DB,54,-20.658,21.1373,A51
CY,54,-19.642,21.1373,A52
CV,54,-18.626,21.1373,A53
CT,54,-17.61,21.1373,A54
CP,54,-16.594,21.1373,A55
CM,54,-15.578,21.1373,A56
CK,54,-14.562,21.1373,A57
CH,54,-13.546,21.1373,A58
CF,54,-12.53,21.1373,A59
CD,54,-11.514,21.1373,A60
CB,54,-10.498,21.1373,A61
DE,53,-22.182,20.2559,A62
DC,53,-21.166,20.2559,A63
DA,53,-20.15,20.2559,A64
CW,53,-19.134,20.2559,B01
CU,53,-18.118,20.2559,B02
CR,53,-17.102,20.2559,B03
CN,53,-16.086,20.2559,B04
CL,53,-15.07,20.2559,B05
CJ,53,-14.054,20.2559,B06
CG,53,-13.038,20.2559,B07
CE,53,-12.022,20.2559,B08
CC,53,-11.006,20.2559,B09
CA,53,-9.99,20.2559,B10
DF,52,-22.69,19.3745,B11
DD,52,-21.674,19.3745,B12
DB,52,-20.658,19.3745,B13
CY,52,-19.642,19.3745,B14
CV,52,-18.626,19.3745,B15
CT,52,-17.61,19.3745,B16
CP,52,-16.594,19.3745,B17
CM,52,-15.578,19.3745,B18
CK,52,-14.562,19.3745,B19
CH,52,-13.546,19.3745,B20
CF,52,-12.53,19.3745,B21
CD,52,-11.514,19.3745,B22
CB,52,-10.498,19.3745,B23
BY,52,-9.482,19.3745,B24
DE,51,-22.182,18.4931,B25
DC,51,-21.166,18.4931,B26
DA,51,-20.15,18.4931,B27
CW,51,-19.134,18.4931,B28
CU,51,-18.118,18.4931,B29
CR,51,-17.102,18.4931,B30
CN,51,-16.086,18.4931,B31
CL,51,-15.07,18.4931,B32
CJ,51,-14.054,18.4931,B33
CG,51,-13.038,18.4931,B34
CE,51,-12.022,18.4931,B35
CC,51,-11.006,18.4931,B36
CA,51,-9.99,18.4931,B37
DF,50,-22.69,17.6117,B38
